Filename,Extracted Values
X8XX01TV,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""1"", ""Net assets"": ""1"", ""Issued share capital"": ""nan"", ""1 Ordinary Share 1 of &#163 each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XX02N7,"{""Current Assets"": ""5751"", ""Net current assets (liabilities)"": ""5751"", ""Total assets less current liabilities"": ""5751""}"
X8XX02SY,"{""Current Assets"": ""8312"", ""Creditors: amounts falling due within one year"": ""-5606"", ""Net current assets (liabilities)"": ""2706"", ""Total assets less current liabilities"": ""2706"", ""Total net assets (liabilities)"": ""2706"", ""Capital and reserves"": ""2706""}"
X8XX03IJ,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""Tssued share capital"": ""nan"", ""100 Ordinary Shares of &#163 | each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XX03S9,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""100"", ""Net assets"": ""100"", ""Issued share capital"": ""nan"", ""100 A Shares 1 of &#163 each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XX07H7,"{""Current Assets"": ""nan"", ""Prepayments and accrued income"": ""nan"", ""Creditors: amounts falling due within one year"": ""nan"", ""Net current assets (liabilities)"": ""nan"", ""Total assets less current liabilities"": ""nan"", ""Creditors: amounts falling due after more than one year"": ""nan""}"
X8XX036G,"{""Fixed Assets"": ""-"", ""Current Assets"": ""-"", ""Creditors: amounts falling due within one year"": ""0"", ""Net current assets (liabilities)"": ""0"", ""Total assets less current liabilities"": ""0"", ""Creditors: amounts falling due after more than one year"": ""0""}"
X8XX0137,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""Tssued share capital"": ""nan"", ""100 Ordinary Shares 1 of &#163 each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XX0196,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""1"", ""Net assets"": ""1"", ""Issued share capital"": ""nan"", ""1 Ordinary Share 1 of &#163 each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XZI9MH,"{""Called up share capital not paid"": ""-"", ""Fixed Assets"": ""-"", ""Current Assets"": ""500000"", ""Prepayments and accrued income"": ""-"", ""Net current assets (liabilities)"": ""500000"", ""Total assets less current liabilities"": ""500000""}"
X8XZI9Y0,"{""Fixed assets"": ""578"", ""Current assets"": ""112532"", ""Creditors: amounts falling due within one year"": ""-21596"", ""Net current assets"": ""90936"", ""Total assets less current liabilities"": ""91514""}"
X8XZI954,"{""Called up share capital not paid"": ""0"", ""Current assets"": ""nan"", ""Cash at bank and in hand"": ""100"", ""Net assets"": ""100""}"
X8XZIB3U,"{""Called up share capital not paid"": ""-"", ""Fixed Assets"": ""780"", ""Current Assets"": ""2942"", ""Creditors: amounts falling due within one year"": ""-5690"", ""Net current assets (liabilities)"": ""-2748"", ""Total assets less current liabilities"": ""-1968""}"
X8XZIBDK,"{""Called up share capital not paid"": ""5"", ""Fixed Assets"": ""-"", ""Current Assets"": ""-"", ""Prepayments and accrued income"": ""-"", ""Creditors: amounts falling due within one year"": ""0"", ""Net current assets (liabilities)"": ""0""}"
X8XZIBXE,"{""Net assets"": ""0"", ""Reserves"": ""0""}"
X8XZIBZD,"{""Called up share capital not paid"": ""1"", ""Current Assets"": ""1016"", ""Net current assets (liabilities)"": ""1016"", ""Total assets less current liabilities"": ""1017"", ""Total net assets (liabilities)"": ""1017"", ""Capital and reserves"": ""1017""}"
X8XZICIB,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""100"", ""Net assets"": ""100"", ""Issued share capital"": ""nan"", ""100 Ordinary Shares of &#163 | each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XZICNE,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""100"", ""Net assets"": ""100"", ""Issued share capital"": ""nan"", ""100 Ordinary Shares 1 of &#163 each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XZICQX,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""1"", ""Net assets"": ""1"", ""Issued share capital"": ""nan"", ""1 Ordinary Share 1 of &#163 each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XZIDG2,"{""Called up share capital not paid"": ""-"", ""Fixed Assets"": ""-"", ""Current Assets"": ""-"", ""Net current assets (liabilities)"": ""0"", ""Total assets less current liabilities"": ""0"", ""Total net assets (liabilities)"": ""0""}"
X8XZIDMH,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""1"", ""Net assets"": ""1"", ""Issued share capital"": ""nan"", ""1 Ordinary Share 1 of &#163 each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XZIE17,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""Tssued share capital"": ""nan"", ""1 Ordinary Share of &#163 100 each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XZIEI1,"{""2019"": ""nan"", ""&#163"": ""nan"", ""Fixed assets"": ""nan"", ""Current assets"": ""nan"", ""Creditors: amounts falling due within"": ""nan"", ""one year"": ""nan"", ""Net current assets"": ""nan""}"
X8XZIF16,"{""Current Assets"": ""2386"", ""Creditors: amounts falling due within one year"": ""-360"", ""Net current assets (liabilities)"": ""2026"", ""Total assets less current liabilities"": ""2026"", ""Total net assets (liabilities)"": ""2026"", ""Capital and reserves"": ""2026""}"
X8XZIFE8,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""5"", ""Net assets"": ""5"", ""Issued share capital"": ""nan"", ""5 Ordinary Shares 1 of &#163 each"": ""5"", ""Total Shareholder funds"": ""5""}"
X8XZIFNV,"{""Fixed Assets"": ""2456"", ""Current Assets"": ""212740"", ""Creditors: amounts falling due within one year"": ""-65764"", ""Net current assets (liabilities)"": ""146976"", ""Total assets less current liabilities"": ""149432"", ""Provisions for liabilities"": ""-467""}"
X8XZIFZL,"{""Called up share capital not paid"": ""1"", ""Net assets"": ""1"", ""Tssued share capital"": ""nan"", ""1 Ordinary Share 1 of &#163 each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XZIG2X,"{""Called up share capital not paid"": ""200"", ""Net assets"": ""200"", ""Tssued share capital"": ""nan"", ""200 Ordinary Shares 1 of &#163 each"": ""200"", ""Total Shareholder funds"": ""200""}"
X8XZIGW8,"{""2019"": ""nan"", ""&#163"": ""nan"", ""Fixed assets"": ""nan"", ""Current assets"": ""nan"", ""Creditors: amounts falling due within"": ""nan"", ""one year"": ""nan"", ""Net current liabilities"": ""nan""}"
X8XZIIRN,"{""Called up share capital not paid"": ""1"", ""Net assets"": ""1"", ""Tssued share capital"": ""nan"", ""1 Ordinary Share 1 of &#163 each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XZIIW2,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""1"", ""Net assets"": ""1"", ""Issued share capital"": ""nan"", ""1 Ordinary Share 1 of &#163 each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XZIIYQ,"{""Net assets"": ""0"", ""Reserves"": ""0""}"
X8XZIJC8,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""Tssued share capital"": ""nan"", ""100 Ordinary Shares of &#163 | each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XZIKDF,"{""Called up share capital not paid"": ""4"", ""Current Assets"": ""7078"", ""Creditors: amounts falling due within one year"": ""-7047"", ""Net current assets (liabilities)"": ""31"", ""Total assets less current liabilities"": ""35"", ""Total net assets (liabilities)"": ""35""}"
X8XZIKJ6,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""100"", ""Net assets"": ""100"", ""Issued share capital"": ""nan"", ""100 Ordinary Shares 1 of &#163 each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XZIKOX,"{""Fixed Assets"": ""8460"", ""Current Assets"": ""22756"", ""Creditors: amounts falling due within one year"": ""-27702"", ""Net current assets (liabilities)"": ""-4946"", ""Total assets less current liabilities"": ""3514"", ""Total net assets (liabilities)"": ""3514""}"
X8XZIMDT,"{""Called up share capital not paid"": ""nan"", ""Fixed Assets"": ""nan"", ""Current Assets"": ""nan"", ""Net current assets (liabilities)"": ""nan"", ""Total assets less current liabilities"": ""nan"", ""Creditors: amounts falling due after more than one year"": ""nan""}"
X8XZIMKG,"{""Current Assets"": ""196"", ""Creditors: amounts falling due within one year"": ""-18"", ""Net current assets (liabilities)"": ""178"", ""Total assets less current liabilities"": ""178"", ""Total net assets (liabilities)"": ""178"", ""Capital and reserves"": ""178""}"
X8XZIML4,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""50"", ""Net assets"": ""50"", ""Issued share capital"": ""nan"", ""50 Preference Shares 1 of &#163 each"": ""50"", ""Total Shareholder funds"": ""50""}"
X8XZIMQ3,"{""Called up share capital not paid"": ""nan"", ""Net assets"": ""nan"", ""Tssued share capital"": ""nan"", ""1 Ordinary Share 1 of &#163 each"": ""nan"", ""Total Shareholder funds"": ""nan""}"
X8XZIN35,"{""Called up share capital not paid"": ""2"", ""Net assets"": ""2"", ""Tssued share capital"": ""nan"", ""2 Ordinary Shares 1 of &#163 each"": ""2"", ""Total Shareholder funds"": ""2""}"
X8XZINN6,"{""Called up share capital not paid"": ""1"", ""Net assets"": ""1"", ""Tssued share capital"": ""nan"", ""1 Ordinary Share 1 of &#163 each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XZIO5G,"{""Fixed assets"": ""576"", ""Current assets"": ""2020"", ""Creditors: Amounts falling due within one year"": ""-8895"", ""Net current liabilities"": ""(6"", ""Total assets less current liabilities"": ""-6299"", ""Accruals and deferred income"": ""-312""}"
X8XZIOFU,"{""Fixed Assets"": ""7264"", ""Current Assets"": ""14291"", ""Creditors: amounts falling due within one year"": ""-563"", ""Net current assets (liabilities)"": ""13728"", ""Total assets less current liabilities"": ""20992"", ""Total net assets (liabilities)"": ""20992""}"
X8XZIOKY,"{""Current Assets"": ""10000"", ""Net current assets (liabilities)"": ""10000"", ""Total assets less current liabilities"": ""10000"", ""Total net assets (liabilities)"": ""10000"", ""Capital and reserves"": ""10000""}"
X8XZIOV4,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""Tssued share capital"": ""nan"", ""100 A Shares 1 of &#163 each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XZIOXK,"{""Called up share capital not paid"": ""1"", ""Net assets"": ""1"", ""Tssued share capital"": ""nan"", ""1 Ordinary Share 1 of &#163 each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XZIP1V,"{""Notes"": ""nan"", ""&#163"": ""nan"", ""Current assets"": ""nan"", ""Cash at bank and in hand 2"": ""nan"", ""Creditors: amounts falling"": ""nan"", ""due within one year"": ""nan"", ""Net current assets"": ""nan""}"
X8XZIPBM,"{""Fixed Assets"": ""83750"", ""Current Assets"": ""93152"", ""Creditors: amounts falling due within one year"": ""-29819"", ""Net current assets (liabilities)"": ""63333"", ""Total assets less current liabilities"": ""147083""}"
X8XZIPGP,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""Tssued share capital"": ""nan"", ""100"": ""100"", ""Total Shareholder funds"": ""___""}"
X8XZIPWZ,"{""Called up share capital not paid"": ""-"", ""Fixed Assets"": ""-"", ""Current Assets"": ""-"", ""Prepayments and accrued income"": ""-"", ""Creditors: amounts falling due within one year"": ""0"", ""Net current assets (liabilities)"": ""0""}"
X8XZIQ16,"{""Current Assets"": ""22560"", ""Creditors: amounts falling due within one year"": ""-2038"", ""Net current assets (liabilities)"": ""20522"", ""Total assets less current liabilities"": ""20522"", ""Total net assets (liabilities)"": ""20522"", ""Capital and reserves"": ""20522""}"
X8XZIQEG,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""1"", ""Net assets"": ""1"", ""Issued share capital"": ""nan"", ""1 Ordinary Share 1 of &#163 each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XZIR1E,"{""Fixed Assets"": ""46754"", ""Current Assets"": ""8017"", ""Creditors: amounts falling due within one year"": ""-65151"", ""Net current assets (liabilities)"": ""-57134"", ""Total assets less current liabilities"": ""-10380"", ""Provisions for liabilities"": ""-7458""}"
X8XZIR3U,"{""Fixed Assets"": ""8326"", ""Current Assets"": ""17380"", ""Creditors: amounts falling due within one year"": ""-23723"", ""Net current assets (liabilities)"": ""-6343"", ""Total assets less current liabilities"": ""1983"", ""Total net assets (liabilities)"": ""1983""}"
X8XZIR7V,"{""Fixed Assets"": ""25000"", ""Current Assets"": ""-"", ""Net current assets (liabilities)"": ""0"", ""Total assets less current liabilities"": ""25000""}"
X8XZIRI8,"{""Called up share capital not paid"": ""-"", ""Fixed Assets"": ""-"", ""Current Assets"": ""24404"", ""Creditors: amounts falling due within one year"": ""-26602"", ""Net current assets (liabilities)"": ""-2198"", ""Total assets less current liabilities"": ""-2198""}"
X8XZIS4B,"{""Fixed Assets"": ""960"", ""Current Assets"": ""1541"", ""Creditors: amounts falling due within one year"": ""-1209"", ""Net current assets (liabilities)"": ""332"", ""Total assets less current liabilities"": ""1292"", ""Total net assets (liabilities)"": ""1292""}"
X8XZIS7K,"{""Current assets"": ""-"", ""Creditors: amounts falling due within one year"": ""-"", ""Net current assets"": ""-"", ""Total assets less current liabilities"": ""-"", ""Accruals and deferred income"": ""-""}"
X8XZIS17,"{""Called up share capital not paid"": ""2"", ""Net assets"": ""2"", ""Tssued share capital"": ""nan"", ""2 Ordinary Shares 1 of &#163 each"": ""2"", ""Total Shareholder funds"": ""2""}"
X8XZISVF,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""20"", ""Net assets"": ""20"", ""Issued share capital"": ""nan"", ""20 Ordinary Shares 1 of &#163 each"": ""20"", ""Total Shareholder funds"": ""20""}"
X8XZIT2O,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""12"", ""Net assets"": ""12"", ""Issued share capital"": ""nan"", ""12 Ordinary Shares 1 of &#163 each"": ""12"", ""Total Shareholder funds"": ""12""}"
X8XZITQ8,"{""Called up share capital not paid"": ""1"", ""Net assets"": ""1"", ""Tssued share capital"": ""nan"", ""1 Ordinary Share 1 of &#163 each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XZIUTL,"{""Called up share capital not paid"": ""2"", ""Net assets"": ""2"", ""Tssued share capital"": ""nan"", ""2 Ordinary Shares 1 of &#163 each"": ""2"", ""Total Shareholder funds"": ""2""}"
X8XZIV4B,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""3"", ""Net assets"": ""3"", ""Issued share capital"": ""nan"", ""3 Ordinary Shares 1 of &#163 each"": ""3"", ""Total Shareholder funds"": ""3""}"
X8XZIVMX,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""Tssued share capital"": ""nan"", ""100 Ordinary Shares 1 of &#163 each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XZIW68,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""Tssued share capital"": ""nan"", ""100 Ordinary Shares 1 of &#163 each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XZIWEH,"{""Called up share capital not paid"": ""6"", ""Net assets"": ""6"", ""Tssued share capital"": ""nan"", ""6 Ordinary Shares 1 of &#163 each"": ""6"", ""Total Shareholder funds"": ""6""}"
X8XZIWI2,"{""Current Assets"": ""52167"", ""Creditors: amounts falling due within one year"": ""-16402"", ""Net current assets (liabilities)"": ""35765"", ""Total assets less current liabilities"": ""35765"", ""Total net assets (liabilities)"": ""35765"", ""Capital and reserves"": ""35765""}"
X8Y2EPBT,"{""Fixed Assets"": ""2046"", ""Current Assets"": ""53790"", ""Creditors: amounts falling due within one year"": ""-23146"", ""Net current assets (liabilities)"": ""30644"", ""Total assets less current liabilities"": ""32690"", ""Total net assets (liabilities)"": ""32690""}"
X8Y2EPNN,"{""Fixed Assets"": ""14800"", ""Current Assets"": ""570"", ""Net current assets (liabilities)"": ""570"", ""Total assets less current liabilities"": ""15370"", ""Creditors: amounts falling due after more than one year"": ""-18659"", ""Total net assets (liabilities)"": ""-3289""}"
X8Y2EPVK,"{""Fixed Assets"": ""3650"", ""Current Assets"": ""7721"", ""Creditors: amounts falling due within one year"": ""-8776"", ""Net current assets (liabilities)"": ""-1055"", ""Total assets less current liabilities"": ""2595"", ""Total net assets (liabilities)"": ""2595""}"
X8Y2ER1U,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""Tssued share capital"": ""nan"", ""100 Ordinary Shares 1 of &#163 each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8Y2ESHT,"{""Current Assets"": ""5609"", ""Creditors: amounts falling due within one year"": ""-5392"", ""Net current assets (liabilities)"": ""217"", ""Total assets less current liabilities"": ""217"", ""Total net assets (liabilities)"": ""217"", ""Capital and reserves"": ""217""}"
X8Y2ESJM,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""10"", ""Net assets"": ""10"", ""Issued share capital"": ""nan"", ""1000 Ordinary Shares of &#163 0"": ""nan"", ""Total Shareholder funds"": ""10""}"
X8Y2ESK2,"{""Called up share capital not paid"": ""-"", ""Fixed Assets"": ""47942"", ""Current Assets"": ""26316"", ""Prepayments and accrued income"": ""-"", ""Creditors: amounts falling due within one year"": ""-208648"", ""Net current assets (liabilities)"": ""-182332""}"
X8Y2ETEY,"{""Called up share capital not paid"": ""1"", ""Net assets"": ""1"", ""Tssued share capital"": ""nan"", ""1 Ordinary Share 1 of &#163 each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8Y2ETP7,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""Tssued share capital"": ""nan"", ""100 Ordinary Shares of &#163 | each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8Y2EUWP,"{""Fixed Assets"": ""931"", ""Current Assets"": ""2145"", ""Creditors: amounts falling due within one year"": ""-2502"", ""Net current assets (liabilities)"": ""-357"", ""Total assets less current liabilities"": ""574"", ""Total net assets (liabilities)"": ""574""}"
X8Y2EY7M,"{""Called up share capital not paid"": ""0"", ""Current assets"": ""nan"", ""Cash at bank and in hand"": ""100"", ""Net assets"": ""100""}"
X8Y2EYGW,"{""Current Assets"": ""28422"", ""Creditors: amounts falling due within one year"": ""-28420"", ""Net current assets (liabilities)"": ""2"", ""Total assets less current liabilities"": ""2"", ""Total net assets (liabilities)"": ""2"", ""Capital and reserves"": ""2""}"
X8Y2EYNK,"{""Called up share capital not paid"": ""0"", ""Current assets"": ""nan"", ""Cash at bank and in hand"": ""100"", ""Net assets"": ""100""}"
X8Y2EZ9S,"{""Called up share capital not paid"": ""1"", ""Net assets"": ""1"", ""Tssued share capital"": ""nan"", ""1 Ordinary Share 1 of &#163 each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8Y2EZF0,"{""Creditors: amounts falling due within one year"": ""-16666"", ""Net current assets (liabilities)"": ""-16666"", ""Total assets less current liabilities"": ""-16666"", ""Total net assets (liabilities)"": ""-16666"", ""Capital and reserves"": ""-16666""}"
X8Y2EZHT,"{""2018"": ""nan"", ""&#163"": ""nan"", ""Current assets"": ""nan"", ""Creditors: amounts falling due within"": ""nan"", ""one year"": ""nan"", ""Net current assets"": ""nan"", ""Total assets less current liabilities"": ""nan""}"
X8Y2F0HE,"{""2019"": ""nan"", ""&#163"": ""nan"", ""Current assets"": ""nan"", ""Creditors: amounts falling due within"": ""nan"", ""one year"": ""nan"", ""Net current assets"": ""nan"", ""Total assets less current liabilities"": ""nan""}"
X8Y2F0L6,"{""Called up share capital not paid"": ""0"", ""Current assets"": ""nan"", ""Cash at bank and in hand"": ""100"", ""Net assets"": ""100""}"
X8Y2F3JL,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""1"", ""Net assets"": ""1"", ""Issued share capital"": ""nan"", ""1 Ordinary Share 1 of &#163 each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8Y2F3V7,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""Tssued share capital"": ""nan"", ""100 Ordinary Shares of &#163 | each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8Y2F4BD,"{""Current Assets"": ""199"", ""Creditors: amounts falling due within one year"": ""-198"", ""Net current assets (liabilities)"": ""1"", ""Total assets less current liabilities"": ""1"", ""Total net assets (liabilities)"": ""1"", ""Capital and reserves"": ""1""}"
X8Y2F4HM,"{""Fixed Assets"": ""17417"", ""Current Assets"": ""25632"", ""Creditors: amounts falling due within one year"": ""-2160"", ""Net current assets (liabilities)"": ""23472"", ""Total assets less current liabilities"": ""40889"", ""Total net assets (liabilities)"": ""40889""}"
X8Y2F4YW,"{""Fixed Assets"": ""1078"", ""Total assets less current liabilities"": ""1078"", ""Total net assets (liabilities)"": ""1078"", ""Capital and reserves"": ""1078""}"
X8Y2F14H,"{""Current Assets"": ""10"", ""Net current assets (liabilities)"": ""10"", ""Total assets less current liabilities"": ""10""}"
X8Y2F34B,"{""Called up share capital not paid"": ""-"", ""Fixed Assets"": ""470"", ""Current Assets"": ""2000"", ""Prepayments and accrued income"": ""-"", ""Creditors: amounts falling due within one year"": ""0"", ""Net current assets (liabilities)"": ""2000""}"
X8Y2F337,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""100"", ""Net assets"": ""100"", ""Issued share capital"": ""nan"", ""100 Ordinary Shares 1 of &#163 each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8Y4QL1E,"{""Called up share capital not paid"": ""-"", ""Fixed Assets"": ""-"", ""Current Assets"": ""71"", ""Prepayments and accrued income"": ""-"", ""Creditors: amounts falling due within one year"": ""0"", ""Net current assets (liabilities)"": ""77""}"
X8Y4QNO9,"{""Called up share capital not paid"": ""1"", ""Fixed Assets"": ""3334"", ""Current Assets"": ""-"", ""Prepayments and accrued income"": ""419"", ""Creditors: amounts falling due within one year"": ""0"", ""Net current assets (liabilities)"": ""419""}"
X8Y4QNPL,"{""Called up share capital not paid"": ""nan"", ""Fixed Assets"": ""nan"", ""Current Assets"": ""nan"", ""Prepayments and accrued income"": ""nan"", ""Creditors: amounts falling due within one year"": ""nan"", ""Net current assets (liabilities)"": ""nan""}"
X8Y4QNRD,"{""Current Assets"": ""nan"", ""Creditors: amounts falling due within one year"": ""nan"", ""Net current assets (liabilities)"": ""nan"", ""Total assets less current liabilities"": ""nan"", ""Total net assets (liabilities)"": ""nan"", ""Capital and reserves"": ""nan""}"
X8Y4QO1V,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""1"", ""Net assets"": ""1"", ""Issued share capital"": ""nan"", ""1 Ordinary Share 1 of &#163 each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8Y4QO6V,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""100"", ""Net assets"": ""100"", ""Issued share capital"": ""nan"", ""100 Ordinary Shares 1 of &#163 each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8Y4QORK,"{""Called up share capital not paid"": ""1"", ""Net assets"": ""1"", ""Tssued share capital"": ""nan"", ""1 Ordinary Share 1 of &#163 each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8Y4QP5M,"{""Notes"": ""nan"", ""&#163"": ""nan"", ""Fixed assets"": ""nan"", ""Tangible assets"": ""nan"", ""Current assets"": ""nan"", ""Cash at bank and in hand"": ""nan""}"
X8Y4QPFS,"{""Called up share capital not paid"": ""nan"", ""Fixed Assets"": ""nan"", ""Current Assets"": ""nan"", ""Prepayments and accrued income"": ""nan"", ""Creditors: amounts falling due within one year"": ""nan"", ""Net current assets (liabilities)"": ""nan""}"
X8Y4QRBV,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""1"", ""Net assets"": ""1"", ""Issued share capital"": ""nan"", ""1 Ordinary Share 1 of &#163 each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8Y4QSJK,"{""Current Assets"": ""3656"", ""Creditors: amounts falling due within one year"": ""-3567"", ""Net current assets (liabilities)"": ""89"", ""Total assets less current liabilities"": ""89"", ""Total net assets (liabilities)"": ""89"", ""Capital and reserves"": ""89""}"
